"Refs","Value","Footprint","Qty","DNP"
"C1,C2","50V 100nF","","2",""
"C3,C4","50V 1nF","","2",""
"C5,C6","100uF","","2",""
"D1","P6KE6V8A","P6KE6V8A:DIOAD1300W80L670D310","1",""
"D2,D3,D4","P6KE16A","P6KE16A:DIOAD1300W80L670D310","3",""
"F1,F2","F5A","","2",""
"Q1","20V IN","XT60_YELLOW:AMASS_XT60PB-M","1",""
"Q2","20V OUT","XT60_YELLOW:AMASS_XT60PB-M","1",""
"R1,R2","1k","","2",""
"R3,R4,R6,R8","2k","","4",""
"R5,R7","10k","","2",""
"U1,U2","XL4015","","2",""
"U3,U4","ACS712xLCTR-05B","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","2",""
"U5","ESP32-C3_SUPERMINI_TH","ESP32-C3_SUPERMINI_TH:MODULE_ESP32-C3_SUPERMINI_TH","1",""
